Ativo_Independente,Ativo_Dependente,ADF-100,ADF-120,ADF-140,ADF-160,ADF-180,ADF-200,ADF-220,ADF-250,Total
ABEV3,BBDC3,0,0,0,-3.041194243610174,-3.2629539516267907,-3.901580758873284,-4.324063372552498,-3.5752165603491446,5
ABEV3,BBDC4,0,-2.9413731647236485,-3.1465919146218697,-2.993612193638649,-3.351511661885371,-3.3668489619198656,-4.765082506397192,-3.0556725382070447,7
ABEV3,BRDT3,-3.469515291938189,0,-2.9144087461711004,-3.2442158453967846,-4.299183944653935,-3.4614492532104304,0,0,5
ABEV3,CMIG4,-3.275427804700093,-3.3597317250937264,0,0,-3.244498581506693,-3.2643726428218156,-3.6079613640849972,-4.2319562737873,6
ABEV3,CPFE3,0,-3.2456262687801787,-3.0471712426744926,-2.8978251799459103,-3.137633728906226,-3.778673362945344,0,-3.149536895971907,6
ABEV3,CRFB3,-4.037917999002015,-4.02989095995134,-3.870876139939932,-4.11341261802695,-3.1125742874562277,0,-2.987373675221628,0,6
ABEV3,EGIE3,-3.254258302412273,0,0,-3.191251040625765,-3.834259471970103,-3.3463062465410673,-4.082708436569168,-3.731878184034558,6
ABEV3,ENBR3,-3.395084726068795,-3.392541202241626,-3.658654698994632,-3.0468198930208215,-3.7527751994381386,-3.536787647409743,-3.873926040833955,-3.9626902675617224,8
ABEV3,ENGI11,0,-3.3990905974927488,0,-3.0057991113110023,-2.9640068674397564,-3.4484455017957707,-3.68855168288713,-3.1693084121645017,6
ABEV3,GOLL4,0,0,-2.964773019418098,-3.125183799025095,-3.233737996876262,-2.9381555873510203,-3.194221793747952,-2.898668917726462,6
ABEV3,IRBR3,-3.3962885202093993,-3.328095954665401,-3.3438288291124794,0,0,-3.156965973679465,-2.9670042660197944,-3.7407649214850047,6
ABEV3,JBSS3,0,0,0,-2.9545020038363714,-3.2367580489363688,-3.1768571288983445,-4.059576036467188,-3.628341177614904,5
ABEV3,MRFG3,-3.3538029173624757,-3.588012224451581,-4.376531184724418,-3.1806429039964423,0,-3.4522994714670907,0,0,5
ABEV3,MRVE3,0,-2.9698976932698553,-3.459892664459117,-3.2874613953443914,-3.7532653069017594,-3.357585902859356,0,-3.06279383913494,6
AZUL4,BRAP4,0,0,-2.960016287940466,-3.0781650592778953,-3.2407882116595945,-3.5178670631962805,-3.7526949885497016,0,5
AZUL4,BRDT3,-3.078598183517722,0,0,-3.119300637655168,-4.151762318907113,-3.165047950518714,-3.1968077047501717,0,5
AZUL4,CPLE6,-3.335840960560038,-3.803886507021469,-4.100030641228321,-4.361785466336302,-3.84169065030014,-4.7078849399757186,-4.574021326268123,-3.540661317363321,8
AZUL4,CRFB3,-3.8228255942566793,-3.7101291984766473,-3.798292889139408,-3.614127857832769,-3.0259250670953555,0,-2.974881849465792,0,6
AZUL4,EGIE3,-3.300253434050004,-3.325973407866482,0,-3.0121305497921167,-3.62238537654442,-3.136111193061059,-3.1073074196867405,-3.1176059882380307,7
AZUL4,ENBR3,-3.2043012520967653,-3.1051258701098545,-3.276568578852678,-3.7538435941212733,-4.2512677409863935,-4.084561525648926,-3.5031825619453723,-4.066264696412667,8
AZUL4,IRBR3,-3.0469052477157215,-3.1855890866459244,-3.259210513918757,0,-2.974563162303325,-3.262307870431734,-3.2223538694968212,0,6
AZUL4,JBSS3,0,0,0,-2.9792385451102965,-3.316278942694289,-3.2095624630992674,-3.9745828948990165,-2.8772643932437676,5
AZUL4,MULT3,0,0,-2.9362291527457955,-3.093241464389151,-3.8422197478694744,-3.8543411891275308,-4.345041587306618,0,5
